Sr_no,Content_ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,,,,Top 5 Category,Total score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,Studying,negative,0,,,,,Animals,68624
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,Studying,negative,10,,,,,science,65405
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,photo,Studying,negative,15,,,,,healthy eating,63138
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,photo,Studying,negative,0,,,,,technology,63035
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,photo,Studying,positive,30,,,,,food,61598
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,photo,Studying,neutral,35,,,,,,
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,photo,Studying,positive,70,,,,,,
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,photo,Studying,negative,5,,,,,,
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,photo,Studying,neutral,35,,,,,,
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,photo,Studying,neutral,20,,,,,,
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,photo,Studying,negative,15,,,,,,
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,photo,Studying,positive,30,,,,,,
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,photo,Studying,negative,5,,,,,,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,photo,Studying,negative,15,,,,,,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,photo,Studying,positive,75,,,,,,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,photo,Studying,neutral,35,,,,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,photo,Studying,neutral,20,,,,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,photo,Studying,positive,30,,,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,photo,Studying,neutral,35,,,,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,photo,Studying,negative,12,,,,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,photo,Studying,positive,50,,,,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,photo,Studying,positive,60,,,,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,photo,Studying,negative,12,,,,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,photo,Studying,negative,5,,,,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,photo,Studying,negative,5,,,,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,photo,Studying,positive,70,,,,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,photo,Studying,positive,75,,,,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,photo,Studying,negative,15,,,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,photo,Studying,positive,30,,,,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,photo,Studying,neutral,20,,,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,photo,Studying,positive,75,,,,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,photo,Studying,negative,0,,,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,photo,Studying,positive,75,,,,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,photo,Studying,positive,30,,,,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,photo,Studying,negative,10,,,,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,photo,Studying,negative,15,,,,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,photo,Studying,positive,70,,,,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,photo,Studying,positive,30,,,,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,photo,Studying,neutral,20,,,,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,photo,Studying,negative,12,,,,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,photo,Studying,negative,5,,,,,,
42,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,photo,healthy eating,negative,10,,,,,,
43,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,photo,healthy eating,positive,45,,,,,,
44,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,photo,healthy eating,neutral,35,,,,,,
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,photo,healthy eating,negative,15,,,,,,
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,photo,healthy eating,negative,5,,,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,photo,healthy eating,negative,0,,,,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,photo,healthy eating,negative,5,,,,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,photo,healthy eating,positive,50,,,,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,photo,healthy eating,positive,65,,,,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,photo,healthy eating,positive,60,,,,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,photo,healthy eating,neutral,20,,,,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,photo,healthy eating,neutral,35,,,,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,photo,healthy eating,positive,65,,,,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,photo,healthy eating,positive,50,,,,,,
56,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,photo,healthy eating,negative,5,,,,,,
57,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,photo,healthy eating,positive,75,,,,,,
